loan_id,sector,state,loan_amount_usd,credit_score,debt_to_income_ratio,default_probability,decision,underwriter_brief
L00002,Retail,OH,14695.89,716,0.63,0.5757,Review,"RISK SUMMARY: Review at 57.6% default probability. Debt-to-income ratio (0.63) is high relative to the training portfolio.

KEY SIGNALS:
- Debt-to-income ratio (0.63) is high relative to the training portfolio.
- Sector exposure (Retail) has historically produced higher defaults in this sample.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00003,Hospitality,FL,249462.76,632,0.261,0.5568,Review,"RISK SUMMARY: Review at 55.7% default probability. Loan term (12 months) is longer than the lower-risk cohort.

KEY SIGNALS:
- Loan term (12 months) is longer than the lower-risk cohort.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00004,Agriculture,NC,388548.34,577,0.415,0.5332,Review,"RISK SUMMARY: Review at 53.3% default probability. Low credit score (577) materially increases default risk.

KEY SIGNALS:
- Low credit score (577) materially increases default risk.
- Business operating history (6 years) is limited.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00006,Hospitality,FL,410197.01,580,0.527,0.817,Decline,"RISK SUMMARY: Decline at 81.7% default probability. Business operating history (2 years) is limited.

KEY SIGNALS:
- Business operating history (2 years) is limited.
- Low credit score (580) materially increases default risk.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00007,Healthcare,CA,358269.44,591,0.532,0.4786,Review,"RISK SUMMARY: Review at 47.9% default probability. Low credit score (591) materially increases default risk.

KEY SIGNALS:
- Low credit score (591) materially increases default risk.
- Debt-to-income ratio (0.53) is high relative to the training portfolio.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00040,Technology,PA,231439.37,581,0.15,0.5743,Review,"RISK SUMMARY: Review at 57.4% default probability. Low credit score (581) materially increases default risk.

KEY SIGNALS:
- Low credit score (581) materially increases default risk.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00045,Hospitality,NY,219065.37,615,0.251,0.6782,Decline,"RISK SUMMARY: Decline at 67.8% default probability. State cohort (NY) has a weaker repayment pattern in the training data.

KEY SIGNALS:
- State cohort (NY) has a weaker repayment pattern in the training data.
- Credit score (615) is below the stronger-performing borrower range.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00049,Manufacturing,PA,131449.96,548,0.52,0.6757,Decline,"RISK SUMMARY: Decline at 67.6% default probability. Low credit score (548) materially increases default risk.

KEY SIGNALS:
- Low credit score (548) materially increases default risk.
- Debt-to-income ratio (0.52) is high relative to the training portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00050,Technology,PA,424158.24,682,0.543,0.8512,Decline,"RISK SUMMARY: Decline at 85.1% default probability. Debt-to-income ratio (0.54) is high relative to the training portfolio.

KEY SIGNALS:
- Debt-to-income ratio (0.54) is high relative to the training portfolio.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00052,Manufacturing,NY,267959.77,623,0.544,0.9301,Decline,"RISK SUMMARY: Decline at 93.0% default probability. Business operating history (2 years) is limited.

KEY SIGNALS:
- Business operating history (2 years) is limited.
- State cohort (NY) has a weaker repayment pattern in the training data.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00080,Manufacturing,IL,472072.43,712,0.568,0.7129,Decline,"RISK SUMMARY: Decline at 71.3% default probability. Business operating history (1 years) is limited.

KEY SIGNALS:
- Business operating history (1 years) is limited.
- Debt-to-income ratio (0.57) is high relative to the training portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00081,Hospitality,NC,413912.3,523,0.381,0.6529,Decline,"RISK SUMMARY: Decline at 65.3% default probability. Low credit score (523) materially increases default risk.

KEY SIGNALS:
- Low credit score (523) materially increases default risk.
- Business operating history (7 years) is limited.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00086,Construction,WA,53756.91,677,0.331,0.592,Review,"RISK SUMMARY: Review at 59.2% default probability. Business operating history (6 years) is limited.

KEY SIGNALS:
- Business operating history (6 years) is limited.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00088,Hospitality,OH,36490.37,622,0.288,0.4455,Review,"RISK SUMMARY: Review at 44.6% default probability. Credit score (622) is below the stronger-performing borrower range.

KEY SIGNALS:
- Credit score (622) is below the stronger-performing borrower range.
- Sector exposure (Hospitality) has historically produced higher defaults in this sample.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00105,Retail,NC,16056.5,634,0.638,0.4488,Review,"RISK SUMMARY: Review at 44.9% default probability. Business operating history (2 years) is limited.

KEY SIGNALS:
- Business operating history (2 years) is limited.
- Debt-to-income ratio (0.64) is high relative to the training portfolio.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00108,Healthcare,OH,410380.62,749,0.148,0.5767,Review,"RISK SUMMARY: Review at 57.7% default probability. Business operating history (8 years) is limited.

KEY SIGNALS:
- Business operating history (8 years) is limited.
- Loan term (12 months) is longer than the lower-risk cohort.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00109,Construction,PA,207685.43,520,0.554,0.8164,Decline,"RISK SUMMARY: Decline at 81.6% default probability. Low credit score (520) materially increases default risk.

KEY SIGNALS:
- Low credit score (520) materially increases default risk.
- Debt-to-income ratio (0.55) is high relative to the training portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00114,Hospitality,PA,257056.81,544,0.404,0.8376,Decline,"RISK SUMMARY: Decline at 83.8% default probability. Low credit score (544) materially increases default risk.

KEY SIGNALS:
- Low credit score (544) materially increases default risk.
- Interest rate (4.56%) is elevated, which often coincides with weaker borrower quality.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00115,Agriculture,PA,348990.68,585,0.157,0.5103,Review,"RISK SUMMARY: Review at 51.0% default probability. Low credit score (585) materially increases default risk.

KEY SIGNALS:
- Low credit score (585) materially increases default risk.
- Employee count (473) is smaller than stronger-performing cohorts.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00116,Hospitality,NY,458796.02,695,0.634,0.8083,Decline,"RISK SUMMARY: Decline at 80.8% default probability. Debt-to-income ratio (0.63) is high relative to the training portfolio.

KEY SIGNALS:
- Debt-to-income ratio (0.63) is high relative to the training portfolio.
- State cohort (NY) has a weaker repayment pattern in the training data.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00122,Hospitality,FL,345722.89,648,0.212,0.5109,Review,"RISK SUMMARY: Review at 51.1% default probability. Interest rate (5.23%) is elevated, which often coincides with weaker borrower quality.

KEY SIGNALS:
- Interest rate (5.23%) is elevated, which often coincides with weaker borrower quality.
- Employee count (491) is smaller than stronger-performing cohorts.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00124,Construction,CA,29910.77,586,0.189,0.5157,Review,"RISK SUMMARY: Review at 51.6% default probability. Low credit score (586) materially increases default risk.

KEY SIGNALS:
- Low credit score (586) materially increases default risk.
- Business operating history (6 years) is limited.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00128,Hospitality,GA,310713.54,540,0.475,0.8014,Decline,"RISK SUMMARY: Decline at 80.1% default probability. Low credit score (540) materially increases default risk.

KEY SIGNALS:
- Low credit score (540) materially increases default risk.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00129,Hospitality,OH,148586.21,711,0.383,0.4521,Review,"RISK SUMMARY: Review at 45.2% default probability. Business operating history (4 years) is limited.

KEY SIGNALS:
- Business operating history (4 years) is limited.
- Sector exposure (Hospitality) has historically produced higher defaults in this sample.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00133,Hospitality,CA,339916.38,552,0.516,0.799,Decline,"RISK SUMMARY: Decline at 79.9% default probability. Low credit score (552) materially increases default risk.

KEY SIGNALS:
- Low credit score (552) materially increases default risk.
- Interest rate (4.58%) is elevated, which often coincides with weaker borrower quality.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00139,Retail,TX,248723.3,640,0.155,0.5857,Review,"RISK SUMMARY: Review at 58.6% default probability. Sector exposure (Retail) has historically produced higher defaults in this sample.

KEY SIGNALS:
- Sector exposure (Retail) has historically produced higher defaults in this sample.
- State cohort (TX) has a weaker repayment pattern in the training data.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00140,Hospitality,NY,333116.9,706,0.544,0.7565,Decline,"RISK SUMMARY: Decline at 75.7% default probability. State cohort (NY) has a weaker repayment pattern in the training data.

KEY SIGNALS:
- State cohort (NY) has a weaker repayment pattern in the training data.
- Debt-to-income ratio (0.54) is high relative to the training portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00141,Agriculture,OH,324010.89,588,0.474,0.7857,Decline,"RISK SUMMARY: Decline at 78.6% default probability. Low credit score (588) materially increases default risk.

KEY SIGNALS:
- Low credit score (588) materially increases default risk.
- Business operating history (8 years) is limited.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00142,Hospitality,NC,248615.98,561,0.563,0.5528,Review,"RISK SUMMARY: Review at 55.3% default probability. Low credit score (561) materially increases default risk.

KEY SIGNALS:
- Low credit score (561) materially increases default risk.
- Debt-to-income ratio (0.56) is high relative to the training portfolio.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00143,Technology,PA,47466.57,779,0.447,0.4299,Review,"RISK SUMMARY: Review at 43.0% default probability. Business operating history (7 years) is limited.

KEY SIGNALS:
- Business operating history (7 years) is limited.
- Loan term (12 months) is longer than the lower-risk cohort.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00145,Manufacturing,NY,54371.47,642,0.566,0.5615,Review,"RISK SUMMARY: Review at 56.2% default probability. State cohort (NY) has a weaker repayment pattern in the training data.

KEY SIGNALS:
- State cohort (NY) has a weaker repayment pattern in the training data.
- Debt-to-income ratio (0.57) is high relative to the training portfolio.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00146,Hospitality,FL,474868.8,767,0.617,0.4692,Review,"RISK SUMMARY: Review at 46.9% default probability. Business operating history (5 years) is limited.

KEY SIGNALS:
- Business operating history (5 years) is limited.
- Debt-to-income ratio (0.62) is high relative to the training portfolio.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00147,Retail,CA,30976.14,704,0.313,0.4759,Review,"RISK SUMMARY: Review at 47.6% default probability. Business operating history (8 years) is limited.

KEY SIGNALS:
- Business operating history (8 years) is limited.
- Sector exposure (Retail) has historically produced higher defaults in this sample.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00149,Technology,WA,419379.84,634,0.384,0.6736,Decline,"RISK SUMMARY: Decline at 67.4% default probability. Loan purpose (Real Estate) has performed worse than the portfolio average.

KEY SIGNALS:
- Loan purpose (Real Estate) has performed worse than the portfolio average.
- Requested loan amount ($419,380) is large for this portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00151,Healthcare,OH,333943.73,578,0.365,0.6664,Decline,"RISK SUMMARY: Decline at 66.6% default probability. Low credit score (578) materially increases default risk.

KEY SIGNALS:
- Low credit score (578) materially increases default risk.
- State cohort (OH) has a weaker repayment pattern in the training data.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00152,Construction,CA,129398.45,602,0.174,0.5073,Review,"RISK SUMMARY: Review at 50.7% default probability. Business operating history (6 years) is limited.

KEY SIGNALS:
- Business operating history (6 years) is limited.
- Credit score (602) is below the stronger-performing borrower range.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00153,Retail,TX,98218.39,529,0.583,0.9222,Decline,"RISK SUMMARY: Decline at 92.2% default probability. Low credit score (529) materially increases default risk.

KEY SIGNALS:
- Low credit score (529) materially increases default risk.
- Business operating history (5 years) is limited.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00154,Hospitality,NY,434978.18,730,0.43,0.8076,Decline,"RISK SUMMARY: Decline at 80.8% default probability. Business operating history (7 years) is limited.

KEY SIGNALS:
- Business operating history (7 years) is limited.
- State cohort (NY) has a weaker repayment pattern in the training data.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00155,Technology,NY,177908.92,555,0.226,0.5015,Review,"RISK SUMMARY: Review at 50.2% default probability. Low credit score (555) materially increases default risk.

KEY SIGNALS:
- Low credit score (555) materially increases default risk.
- State cohort (NY) has a weaker repayment pattern in the training data.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00156,Healthcare,PA,345340.24,610,0.362,0.7828,Decline,"RISK SUMMARY: Decline at 78.3% default probability. Business operating history (7 years) is limited.

KEY SIGNALS:
- Business operating history (7 years) is limited.
- Credit score (610) is below the stronger-performing borrower range.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00158,Construction,TX,469826.6,715,0.293,0.5541,Review,"RISK SUMMARY: Review at 55.4% default probability. Business operating history (2 years) is limited.

KEY SIGNALS:
- Business operating history (2 years) is limited.
- Requested loan amount ($469,827) is large for this portfolio.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00160,Healthcare,NY,13525.09,681,0.325,0.4742,Review,"RISK SUMMARY: Review at 47.4% default probability. Business operating history (1 years) is limited.

KEY SIGNALS:
- Business operating history (1 years) is limited.
- State cohort (NY) has a weaker repayment pattern in the training data.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00164,Healthcare,PA,138915.08,539,0.498,0.7951,Decline,"RISK SUMMARY: Decline at 79.5% default probability. Low credit score (539) materially increases default risk.

KEY SIGNALS:
- Low credit score (539) materially increases default risk.
- Debt-to-income ratio (0.50) is high relative to the training portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00166,Healthcare,IL,311443.09,520,0.637,0.6211,Review,"RISK SUMMARY: Review at 62.1% default probability. Low credit score (520) materially increases default risk.

KEY SIGNALS:
- Low credit score (520) materially increases default risk.
- Debt-to-income ratio (0.64) is high relative to the training portfolio.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00167,Hospitality,IL,208670.97,555,0.606,0.5738,Review,"RISK SUMMARY: Review at 57.4% default probability. Low credit score (555) materially increases default risk.

KEY SIGNALS:
- Low credit score (555) materially increases default risk.
- Debt-to-income ratio (0.61) is high relative to the training portfolio.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00169,Hospitality,NC,45469.13,579,0.542,0.6584,Decline,"RISK SUMMARY: Decline at 65.8% default probability. Low credit score (579) materially increases default risk.

KEY SIGNALS:
- Low credit score (579) materially increases default risk.
- Business operating history (6 years) is limited.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00170,Technology,OH,194769.34,693,0.629,0.4803,Review,"RISK SUMMARY: Review at 48.0% default probability. Debt-to-income ratio (0.63) is high relative to the training portfolio.

KEY SIGNALS:
- Debt-to-income ratio (0.63) is high relative to the training portfolio.
- State cohort (OH) has a weaker repayment pattern in the training data.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00171,Hospitality,WA,197509.89,637,0.54,0.8675,Decline,"RISK SUMMARY: Decline at 86.8% default probability. Business operating history (1 years) is limited.

KEY SIGNALS:
- Business operating history (1 years) is limited.
- Debt-to-income ratio (0.54) is high relative to the training portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00172,Construction,OH,150771.9,695,0.142,0.4067,Review,"RISK SUMMARY: Review at 40.7% default probability. Business operating history (1 years) is limited.

KEY SIGNALS:
- Business operating history (1 years) is limited.
- State cohort (OH) has a weaker repayment pattern in the training data.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00173,Healthcare,IL,375616.57,622,0.229,0.609,Review,"RISK SUMMARY: Review at 60.9% default probability. Business operating history (7 years) is limited.

KEY SIGNALS:
- Business operating history (7 years) is limited.
- Credit score (622) is below the stronger-performing borrower range.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00174,Agriculture,PA,184453.41,560,0.472,0.8865,Decline,"RISK SUMMARY: Decline at 88.6% default probability. Low credit score (560) materially increases default risk.

KEY SIGNALS:
- Low credit score (560) materially increases default risk.
- Business operating history (7 years) is limited.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00175,Agriculture,IL,30708.93,681,0.371,0.5565,Review,"RISK SUMMARY: Review at 55.7% default probability. Business operating history (1 years) is limited.

KEY SIGNALS:
- Business operating history (1 years) is limited.
- Employee count (440) is smaller than stronger-performing cohorts.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00178,Healthcare,PA,310261.27,654,0.23,0.5077,Review,"RISK SUMMARY: Review at 50.8% default probability. State cohort (PA) has a weaker repayment pattern in the training data.

KEY SIGNALS:
- State cohort (PA) has a weaker repayment pattern in the training data.
- Loan purpose (Expansion) has performed worse than the portfolio average.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00179,Hospitality,PA,353349.19,725,0.254,0.6204,Review,"RISK SUMMARY: Review at 62.0% default probability. Business operating history (6 years) is limited.

KEY SIGNALS:
- Business operating history (6 years) is limited.
- Sector exposure (Hospitality) has historically produced higher defaults in this sample.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00181,Hospitality,IL,447702.5,681,0.532,0.7975,Decline,"RISK SUMMARY: Decline at 79.8% default probability. Business operating history (6 years) is limited.

KEY SIGNALS:
- Business operating history (6 years) is limited.
- Debt-to-income ratio (0.53) is high relative to the training portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00185,Hospitality,TX,435446.25,727,0.567,0.5626,Review,"RISK SUMMARY: Review at 56.3% default probability. Debt-to-income ratio (0.57) is high relative to the training portfolio.

KEY SIGNALS:
- Debt-to-income ratio (0.57) is high relative to the training portfolio.
- State cohort (TX) has a weaker repayment pattern in the training data.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00186,Technology,PA,358112.41,658,0.588,0.7517,Decline,"RISK SUMMARY: Decline at 75.2% default probability. Debt-to-income ratio (0.59) is high relative to the training portfolio.

KEY SIGNALS:
- Debt-to-income ratio (0.59) is high relative to the training portfolio.
- Business operating history (8 years) is limited.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00187,Hospitality,TX,21319.54,560,0.216,0.5971,Review,"RISK SUMMARY: Review at 59.7% default probability. Low credit score (560) materially increases default risk.

KEY SIGNALS:
- Low credit score (560) materially increases default risk.
- State cohort (TX) has a weaker repayment pattern in the training data.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00188,Healthcare,IL,204536.14,599,0.146,0.4878,Review,"RISK SUMMARY: Review at 48.8% default probability. Low credit score (599) materially increases default risk.

KEY SIGNALS:
- Low credit score (599) materially increases default risk.
- Loan term (12 months) is longer than the lower-risk cohort.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
